web-scraper-order,web-scraper-start-url,name,rating
"1615237433-32","https://www.rappi.com.mx/restaurantes/category/pizza","Mama’s y Papa’s","null"
"1615237433-40","https://www.rappi.com.mx/restaurantes/category/pizza","La Mía Pizza","4.7"
"1615237433-15","https://www.rappi.com.mx/restaurantes/category/pizza","Che Chelas","null"
"1615237433-2","https://www.rappi.com.mx/restaurantes/category/pizza","Il Diavolo","4.7"
"1615237433-25","https://www.rappi.com.mx/restaurantes/category/pizza","Gab's Pizzas, Burritos y Mas","null"
"1615237433-1","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.7"
"1615237433-35","https://www.rappi.com.mx/restaurantes/category/pizza","Asadero GranD","null"
"1615237433-6","https://www.rappi.com.mx/restaurantes/category/pizza","Crécola","4.8"
"1615237433-27","https://www.rappi.com.mx/restaurantes/category/pizza","Little Rome Pizza","null"
"1615237433-9","https://www.rappi.com.mx/restaurantes/category/pizza","Zapata Pizza","4.6"
"1615237433-29","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Sinatra 351","null"
"1615237433-39","https://www.rappi.com.mx/restaurantes/category/pizza","Pixxa","null"
"1615237433-22","https://www.rappi.com.mx/restaurantes/category/pizza","Fiume 37","null"
"1615237433-21","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","null"
"1615237433-16","https://www.rappi.com.mx/restaurantes/category/pizza","Dio Pizza.","null"
"1615237433-11","https://www.rappi.com.mx/restaurantes/category/pizza","La Patrona QRO","4.5"
"1615237433-4","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.7"
"1615237433-19","https://www.rappi.com.mx/restaurantes/category/pizza","College Bar","null"
"1615237433-37","https://www.rappi.com.mx/restaurantes/category/pizza","Stromboli Pizza Villas","null"
"1615237433-38","https://www.rappi.com.mx/restaurantes/category/pizza","U' Furno","null"
"1615237433-24","https://www.rappi.com.mx/restaurantes/category/pizza","Pronto Pizza Qro","null"
"1615237433-5","https://www.rappi.com.mx/restaurantes/category/pizza","Tonino's Pizza","4.8"
"1615237433-26","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1615237433-30","https://www.rappi.com.mx/restaurantes/category/pizza","Sinatra Pizzeria","null"
"1615237433-10","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","4.4"
"1615237433-36","https://www.rappi.com.mx/restaurantes/category/pizza","Nambila Pizza","null"
"1615237433-18","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Trattoria","null"
"1615237433-34","https://www.rappi.com.mx/restaurantes/category/pizza","ke chelas","null"
"1615237433-8","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza","4.8"
"1615237433-14","https://www.rappi.com.mx/restaurantes/category/pizza","Brutus Pizza","4.8"
"1615237433-31","https://www.rappi.com.mx/restaurantes/category/pizza","York Pub","null"
"1615237433-7","https://www.rappi.com.mx/restaurantes/category/pizza","San Teo","null"
"1615237433-17","https://www.rappi.com.mx/restaurantes/category/pizza","Rodeo Cruzeli's Pizza Suc: Comerciantes, Qro.","null"
"1615237433-33","https://www.rappi.com.mx/restaurantes/category/pizza","Galia - Postreria y Pizza","null"
"1615237433-23","https://www.rappi.com.mx/restaurantes/category/pizza","Lynchburg","null"
"1615237433-20","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema Pizza Buffet","null"
"1615237433-3","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1615237433-12","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","5"
"1615237433-28","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema","null"
"1615237433-13","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
