web-scraper-order,web-scraper-start-url,name,rating
"1615237568-91","https://www.rappi.com.mx/restaurantes/category/pizza","El Hornero Pizzas y Empanadas","null"
"1615237568-87","https://www.rappi.com.mx/restaurantes/category/pizza","Sofía Pizzería","null"
"1615237568-88","https://www.rappi.com.mx/restaurantes/category/pizza","Cosi Fan Tutte","null"
"1615237568-93","https://www.rappi.com.mx/restaurantes/category/pizza","Angie's Pizza","null"
"1615237568-82","https://www.rappi.com.mx/restaurantes/category/pizza","Chechinos Pizza","null"
"1615237568-83","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.1"
"1615237568-84","https://www.rappi.com.mx/restaurantes/category/pizza","Piu Pizza","4.6"
"1615237568-92","https://www.rappi.com.mx/restaurantes/category/pizza","Sbarro","null"
"1615237568-86","https://www.rappi.com.mx/restaurantes/category/pizza","Le Chef Querétaro","null"
"1615237568-90","https://www.rappi.com.mx/restaurantes/category/pizza","Marconni's Pizzería","null"
"1615237568-85","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Pub","null"
"1615237568-89","https://www.rappi.com.mx/restaurantes/category/pizza","Chef On Fuego","null"
"1615237568-94","https://www.rappi.com.mx/restaurantes/category/pizza","San Teo","4.7"
"1615237568-81","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","4.3"
"1615237568-95","https://www.rappi.com.mx/restaurantes/category/pizza","Ge Vito's Pizza Juriquilla","null"
