web-scraper-order,web-scraper-start-url,name,rating
"1615237624-96","https://www.rappi.com.mx/restaurantes/category/pizza","Il Diavolo","4.7"
"1615237624-127","https://www.rappi.com.mx/restaurantes/category/pizza","Cosi Fan Tutte","4.6"
"1615237624-129","https://www.rappi.com.mx/restaurantes/category/pizza","Aldo's Pizza","null"
"1615237624-107","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema","null"
"1615237624-117","https://www.rappi.com.mx/restaurantes/category/pizza","La Piccola Trattoria","null"
"1615237624-124","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.5"
"1615237624-101","https://www.rappi.com.mx/restaurantes/category/pizza","Cheese Up","4.3"
"1615237624-121","https://www.rappi.com.mx/restaurantes/category/pizza","Bora Borazza","null"
"1615237624-100","https://www.rappi.com.mx/restaurantes/category/pizza","Abuelitas Pizza","null"
"1615237624-128","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.8"
"1615237624-120","https://www.rappi.com.mx/restaurantes/category/pizza","Lynchburg","null"
"1615237624-110","https://www.rappi.com.mx/restaurantes/category/pizza","Furiosa Sports Bar","null"
"1615237624-104","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Ragazzo","null"
"1615237624-126","https://www.rappi.com.mx/restaurantes/category/pizza","Promo Pizza","null"
"1615237624-112","https://www.rappi.com.mx/restaurantes/category/pizza","Buda Pizza","null"
"1615237624-111","https://www.rappi.com.mx/restaurantes/category/pizza","Nambila Pizza","null"
"1615237624-125","https://www.rappi.com.mx/restaurantes/category/pizza","Diktatur","null"
"1615237624-99","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeta","4.3"
"1615237624-116","https://www.rappi.com.mx/restaurantes/category/pizza","Mozza Pizzería","null"
"1615237624-103","https://www.rappi.com.mx/restaurantes/category/pizza","Benedetti's","null"
"1615237624-105","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria la Nonna Mirador","4.7"
"1615237624-114","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Ricum Di Vendi","null"
"1615237624-113","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzeria Sinatra 351","null"
"1615237624-130","https://www.rappi.com.mx/restaurantes/category/pizza","Sofía Pizzería","null"
"1615237624-106","https://www.rappi.com.mx/restaurantes/category/pizza","Ipanema Pizza Buffet","null"
"1615237624-109","https://www.rappi.com.mx/restaurantes/category/pizza","Gab's Pizzas, Burritos y Mas","null"
"1615237624-97","https://www.rappi.com.mx/restaurantes/category/pizza","Los Dogos","4.5"
"1615237624-108","https://www.rappi.com.mx/restaurantes/category/pizza","Sinatra Pizzeria","null"
"1615237624-118","https://www.rappi.com.mx/restaurantes/category/pizza","Slicers Pizza","null"
"1615237624-123","https://www.rappi.com.mx/restaurantes/category/pizza","Napoli Pizza Plaza Callao","null"
"1615237624-98","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","2.5"
"1615237624-122","https://www.rappi.com.mx/restaurantes/category/pizza","Galia - Postreria y Pizza","null"
"1615237624-102","https://www.rappi.com.mx/restaurantes/category/pizza","La Patrona QRO","4.5"
"1615237624-119","https://www.rappi.com.mx/restaurantes/category/pizza","La Filippa Pizza","null"
"1615237624-115","https://www.rappi.com.mx/restaurantes/category/pizza","College Bar","null"
