web-scraper-order,web-scraper-start-url,name,rating
"1615237677-137","https://www.rappi.com.mx/restaurantes/category/pizza","Nuut Grill","null"
"1615237677-141","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzas Campanario","null"
"1615237677-142","https://www.rappi.com.mx/restaurantes/category/pizza","Reginella","null"
"1615237677-140","https://www.rappi.com.mx/restaurantes/category/pizza","Ameizing Pizza","null"
"1615237677-133","https://www.rappi.com.mx/restaurantes/category/pizza","Piccolo Pizza","null"
"1615237677-136","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Industry","null"
"1615237677-134","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Puq","null"
"1615237677-138","https://www.rappi.com.mx/restaurantes/category/pizza","Mi Pizza","null"
"1615237677-135","https://www.rappi.com.mx/restaurantes/category/pizza","Lucciano's","null"
"1615237677-131","https://www.rappi.com.mx/restaurantes/category/pizza","Piero's Pizzas","null"
"1615237677-139","https://www.rappi.com.mx/restaurantes/category/pizza","Promo Pizza","null"
"1615237677-132","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","3.7"
"1615237677-143","https://www.rappi.com.mx/restaurantes/category/pizza","Pizzería Al Volo","4.9"
