web-scraper-order,web-scraper-start-url,name,rating
"1614873477-34","https://www.rappi.com.mx/restaurantes/category/pizza","Restaurante Pipí Cucú","null"
"1614873477-27","https://www.rappi.com.mx/restaurantes/category/pizza","United Pepperoni","null"
"1614873477-2","https://www.rappi.com.mx/restaurantes/category/pizza","Nostro Capriccio Mediterraneo","null"
"1614873477-17","https://www.rappi.com.mx/restaurantes/category/pizza","Vini Paninni","null"
"1614873477-26","https://www.rappi.com.mx/restaurantes/category/pizza","F*cking Good Pizza","null"
"1614873477-22","https://www.rappi.com.mx/restaurantes/category/pizza","La Pixería de Luchito","null"
"1614873477-40","https://www.rappi.com.mx/restaurantes/category/pizza","La Focachería","null"
"1614873477-9","https://www.rappi.com.mx/restaurantes/category/pizza","San Giorgio Pizzeria","null"
"1614873477-35","https://www.rappi.com.mx/restaurantes/category/pizza","Rut Marut","null"
"1614873477-11","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Maestra","4.1"
"1614873477-13","https://www.rappi.com.mx/restaurantes/category/pizza","Caminera Pizza","4.7"
"1614873477-19","https://www.rappi.com.mx/restaurantes/category/pizza","Chilaquil At Nite","null"
"1614873477-29","https://www.rappi.com.mx/restaurantes/category/pizza","Trattoria Pepe-roni´s","null"
"1614873477-16","https://www.rappi.com.mx/restaurantes/category/pizza","Kemi","null"
"1614873477-37","https://www.rappi.com.mx/restaurantes/category/pizza","Homie Pizza","null"
"1614873477-3","https://www.rappi.com.mx/restaurantes/category/pizza","Little Caesars","4.6"
"1614873477-14","https://www.rappi.com.mx/restaurantes/category/pizza","Capicci","null"
"1614873477-30","https://www.rappi.com.mx/restaurantes/category/pizza","Pixza","null"
"1614873477-21","https://www.rappi.com.mx/restaurantes/category/pizza","The Cut Pizza","null"
"1614873477-8","https://www.rappi.com.mx/restaurantes/category/pizza","Capricciosas Pizza Gourmet","4.7"
"1614873477-25","https://www.rappi.com.mx/restaurantes/category/pizza","Pimiento Pepper.","null"
"1614873477-39","https://www.rappi.com.mx/restaurantes/category/pizza","Balmori Roofbar","null"
"1614873477-6","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza Hut","4.4"
"1614873477-18","https://www.rappi.com.mx/restaurantes/category/pizza","Cochi Nite","null"
"1614873477-32","https://www.rappi.com.mx/restaurantes/category/pizza","Peggy Sues Villeda","null"
"1614873477-4","https://www.rappi.com.mx/restaurantes/category/pizza","Balboa Pizzería","4.6"
"1614873477-10","https://www.rappi.com.mx/restaurantes/category/pizza","California Pizza Kitchen","4.7"
"1614873477-24","https://www.rappi.com.mx/restaurantes/category/pizza","Oregano","null"
"1614873477-20","https://www.rappi.com.mx/restaurantes/category/pizza","Domino's Pizza","null"
"1614873477-15","https://www.rappi.com.mx/restaurantes/category/pizza","Amore Vegano.","null"
"1614873477-23","https://www.rappi.com.mx/restaurantes/category/pizza","Da Totó","null"
"1614873477-1","https://www.rappi.com.mx/restaurantes/category/pizza","Ke-To Pizza & Salads","4.1"
"1614873477-31","https://www.rappi.com.mx/restaurantes/category/pizza","Farina","4.3"
"1614873477-38","https://www.rappi.com.mx/restaurantes/category/pizza","Sheraton Mexico City Maria Isabel","null"
"1614873477-5","https://www.rappi.com.mx/restaurantes/category/pizza","Pizza At Nite","4.4"
"1614873477-7","https://www.rappi.com.mx/restaurantes/category/pizza","Principia Tasting Room","null"
"1614873477-12","https://www.rappi.com.mx/restaurantes/category/pizza","Rosso Pizza","4.3"
"1614873477-28","https://www.rappi.com.mx/restaurantes/category/pizza","OK Pizza","null"
"1614873477-36","https://www.rappi.com.mx/restaurantes/category/pizza","Pitz On","null"
"1614873477-33","https://www.rappi.com.mx/restaurantes/category/pizza","Rusticana Pizzeria E Ristorante","null"
